1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
6, 9, 11, 13, 21, 22, 24, 25, 26, 32, 34, 36, 39, 40, 41, 47, 54, 57, 59, 64
6, 8, 10, 12, 14, 15, 16, 17, 18, 23, 26, 30, 42, 44, 50, 53, 57, 63, 64, 68
1, 5, 6, 9, 26, 28, 32, 33, 36, 41, 42, 45, 48, 50, 51, 57, 58, 64, 65, 67
6, 9, 10, 12, 13, 15, 17, 20, 23, 25, 27, 31, 34, 38, 39, 58, 61, 62, 64, 70
5, 8, 20, 23, 25, 26, 27, 29, 30, 31, 37, 40, 45, 47, 49, 51, 52, 60, 62, 64
5, 8, 10, 11, 12, 15, 17, 19, 22, 27, 29, 31, 40, 50, 51, 56, 60, 61, 63, 69
5, 6, 7, 9, 12, 15, 19, 20, 22, 27, 29, 38, 40, 44, 46, 48, 51, 55, 59, 67
6, 7, 10, 12, 15, 21, 22, 23, 27, 39, 45, 48, 50, 51, 57, 61, 62, 67, 69, 70
2, 8, 12, 18, 21, 24, 27, 30, 36, 38, 40, 45, 47, 49, 50, 58, 60, 63, 65, 68
2, 5, 6, 10, 14, 17, 19, 21, 22, 25, 26, 31, 32, 37, 39, 44, 51, 58, 62, 70
3, 5, 10, 18, 20, 23, 25, 27, 28, 31, 32, 38, 40, 46, 48, 55, 57, 58, 64, 70
3, 6, 7, 8, 18, 25, 27, 28, 29, 33, 35, 38, 39, 40, 44, 47, 50, 51, 52, 65
1, 4, 9, 16, 20, 22, 24, 25, 27, 31, 34, 39, 40, 42, 44, 58, 62, 65, 68, 70
2, 3, 11, 14, 17, 21, 23, 24, 28, 33, 34, 36, 40, 43, 48, 50, 55, 63, 66, 69
1, 3, 10, 13, 16, 19, 25, 30, 32, 37, 41, 43, 45, 46, 51, 54, 57, 59, 65, 68
2, 6, 10, 21, 23, 24, 27, 30, 34, 38, 39, 43, 44, 48, 51, 53, 54, 56, 63, 68
2, 6, 14, 15, 21, 23, 35, 36, 39, 40, 42, 44, 45, 46, 54, 55, 57, 62, 66, 69
2, 3, 7, 14, 16, 18, 19, 21, 22, 25, 28, 31, 35, 38, 39, 43, 44, 51, 59, 65
3, 5, 17, 21, 23, 24, 25, 26, 29, 32, 34, 36, 39, 41, 46, 50, 52, 66, 67, 69
6, 7, 11, 23, 24, 30, 32, 34, 37, 42, 43, 44, 48, 57, 59, 60, 62, 63, 68, 70
2, 6, 7, 8, 10, 11, 14, 22, 23, 25, 30, 32, 44, 48, 55, 56, 57, 61, 64, 65
1, 2, 13, 22, 25, 27, 33, 35, 38, 39, 45, 48, 50, 52, 59, 64, 66, 67, 68, 70
2, 3, 4, 8, 11, 14, 15, 20, 37, 40, 42, 44, 45, 48, 53, 57, 65, 67, 68, 69
2, 3, 4, 6, 10, 11, 13, 14, 22, 27, 30, 32, 34, 37, 38, 55, 64, 66, 67, 70
2, 10, 12, 13, 21, 23, 24, 25, 26, 32, 33, 38, 43, 44, 46, 47, 48, 50, 51, 55
6, 9, 11, 12, 14, 15, 21, 24, 26, 37, 38, 40, 43, 50, 51, 59, 63, 65, 68, 69
1, 2, 5, 10, 13, 14, 16, 17, 26, 31, 32, 34, 35, 39, 40, 53, 55, 57, 60, 61
3, 7, 17, 19, 20, 21, 23, 29, 30, 34, 38, 46, 49, 51, 54, 57, 60, 64, 66, 68
1, 5, 6, 9, 11, 15, 22, 23, 28, 37, 49, 50, 51, 54, 57, 58, 59, 60, 63, 66
2, 8, 10, 17, 18, 25, 27, 28, 30, 33, 38, 39, 43, 44, 45, 47, 52, 57, 60, 61
2, 3, 12, 14, 17, 18, 29, 31, 32, 37, 40, 48, 49, 51, 55, 58, 59, 63, 67, 69
5, 8, 13, 18, 23, 25, 27, 32, 38, 39, 44, 46, 47, 48, 49, 60, 61, 65, 68, 70
3, 4, 10, 11, 15, 20, 23, 27, 33, 37, 43, 53, 54, 55, 56, 57, 61, 63, 68, 69
9, 16, 19, 20, 23, 26, 30, 31, 34, 35, 36, 38, 43, 47, 53, 55, 59, 63, 66, 68
2, 4, 8, 9, 10, 12, 13, 19, 21, 22, 25, 37, 39, 41, 49, 51, 56, 60, 64, 69
5, 13, 17, 19, 21, 22, 23, 27, 28, 29, 31, 33, 34, 47, 50, 51, 58, 59, 63, 70
3, 9, 13, 14, 16, 21, 24, 26, 27, 31, 32, 33, 49, 50, 52, 55, 56, 59, 60, 65
3, 8, 11, 14, 16, 20, 30, 31, 33, 38, 40, 42, 52, 54, 55, 57, 58, 59, 62, 63
1, 16, 22, 27, 30, 34, 38, 39, 42, 43, 44, 46, 48, 50, 51, 59, 63, 65, 66, 67
4, 9, 10, 16, 19, 23, 25, 26, 33, 38, 41, 43, 44, 52, 54, 56, 60, 63, 68, 69
3, 10, 11, 12, 16, 18, 28, 35, 36, 37, 39, 46, 50, 51, 58, 61, 62, 66, 68, 69
3, 5, 6, 8, 11, 12, 17, 21, 22, 27, 34, 35, 38, 44, 45, 53, 54, 55, 59, 66
1, 3, 7, 13, 23, 24, 26, 29, 33, 34, 36, 38, 45, 50, 52, 53, 56, 62, 64, 69
4, 15, 16, 20, 25, 28, 29, 30, 35, 39, 40, 54, 56, 57, 58, 59, 63, 64, 65, 69
5, 14, 15, 16, 18, 19, 22, 29, 37, 44, 45, 47, 48, 49, 50, 57, 58, 63, 64, 66
1, 8, 14, 16, 17, 23, 28, 32, 34, 35, 36, 42, 43, 44, 45, 50, 52, 56, 63, 70
1, 4, 6, 10, 13, 19, 25, 26, 38, 39, 40, 41, 43, 47, 53, 54, 58, 63, 64, 66
4, 8, 9, 14, 19, 21, 33, 37, 38, 39, 42, 43, 50, 52, 53, 55, 57, 62, 66, 67
9, 11, 13, 16, 17, 19, 24, 25, 27, 29, 34, 43, 48, 52, 53, 54, 56, 59, 60, 62
2, 3, 5, 7, 10, 20, 21, 22, 29, 30, 43, 49, 54, 55, 57, 62, 63, 64, 68, 70
1, 7, 8, 10, 11, 19, 24, 37, 42, 46, 47, 48, 49, 51, 52, 54, 55, 57, 58, 61
2, 4, 6, 11, 16, 17, 18, 20, 24, 27, 35, 36, 40, 43, 45, 49, 52, 53, 61, 68
1, 15, 16, 20, 21, 26, 28, 29, 30, 34, 36, 38, 43, 44, 50, 53, 60, 63, 66, 67
2, 7, 9, 10, 11, 12, 17, 18, 19, 24, 36, 37, 39, 40, 43, 46, 53, 62, 66, 67
1, 2, 3, 4, 13, 25, 27, 29, 32, 35, 36, 37, 38, 40, 42, 49, 57, 59, 63, 69
5, 8, 10, 16, 20, 22, 24, 26, 27, 28, 30, 36, 41, 43, 44, 45, 47, 50, 63, 65
1, 5, 9, 10, 14, 16, 18, 21, 27, 28, 31, 36, 43, 46, 52, 59, 62, 65, 66, 68
3, 10, 11, 12, 16, 18, 24, 25, 27, 30, 34, 36, 39, 40, 44, 54, 61, 66, 67, 69
3, 7, 9, 11, 17, 22, 24, 30, 31, 40, 43, 45, 47, 51, 57, 58, 59, 63, 68, 70
10, 11, 17, 29, 32, 33, 34, 36, 38, 40, 41, 43, 46, 51, 55, 58, 59, 62, 63, 64
1, 3, 6, 10, 11, 13, 16, 29, 34, 37, 39, 51, 52, 54, 57, 63, 64, 65, 67, 70
1, 2, 6, 8, 20, 25, 26, 29, 35, 38, 41, 43, 45, 51, 53, 56, 58, 59, 64, 66
3, 7, 8, 10, 15, 30, 32, 38, 40, 41, 44, 45, 49, 50, 53, 54, 62, 64, 67, 70
1, 2, 3, 12, 13, 16, 17, 22, 25, 28, 30, 35, 37, 42, 48, 52, 57, 62, 66, 70
